date,seattle_dewpoint_f,seattle_windspeed_mph,seattle_pressure_hpa,seattle_humidity_pct,new_york_dewpoint_f,new_york_windspeed_mph,new_york_pressure_hpa,new_york_humidity_pct,phoenix_dewpoint_f,phoenix_windspeed_mph,phoenix_pressure_hpa,phoenix_humidity_pct
1995-01-01,41.6,12.6,1023.3,92.0,35.2,15.6,1020.0,67.3,18.7,12.5,1022.5,31.8
1995-01-02,32.8,14.3,1014.1,91.1,37.0,21.8,1007.0,65.5,25.6,12.7,1023.2,32.5
1995-01-03,36.1,12.1,1015.0,90.0,31.9,18.4,1020.8,84.9,25.8,14.3,1011.8,13.6
1995-01-04,33.7,12.1,1008.0,87.5,37.7,15.4,1023.1,68.0,27.5,12.3,1013.5,33.9
1995-01-05,36.0,15.0,1025.2,87.2,33.7,20.3,1012.6,88.4,27.5,11.6,1024.4,28.0
1995-01-06,40.1,15.8,1019.7,92.8,36.5,20.3,1015.9,50.7,29.0,18.6,1023.0,17.6
1995-01-07,41.8,12.4,1015.8,77.7,36.4,16.4,1016.2,75.7,28.0,11.3,1010.6,26.5
1995-01-08,34.9,14.3,1013.6,73.2,34.6,20.6,1022.0,92.6,27.5,13.7,1030.2,9.6
1995-01-09,39.9,16.4,1005.9,96.1,36.8,17.6,1008.3,75.0,23.5,12.6,1024.3,24.8
1995-01-10,34.8,18.4,1009.2,77.3,37.3,13.3,1007.7,91.9,26.3,15.4,1018.9,28.0
1995-01-11,36.5,13.9,1027.9,96.2,32.7,20.3,1014.7,75.6,28.9,17.3,1019.7,34.4
1995-01-12,38.8,12.3,1010.9,84.9,32.7,17.8,1038.7,90.6,26.5,14.1,1020.6,23.8
1995-01-13,33.8,12.2,1015.4,79.1,38.3,14.3,1023.6,75.4,24.1,13.4,1023.2,18.0
1995-01-14,36.5,17.8,1023.5,78.0,36.7,13.5,1025.2,71.6,25.6,12.0,1027.5,32.0
1995-01-15,38.1,12.2,1010.7,83.7,32.6,13.2,1013.9,54.1,22.7,12.8,1023.2,31.9
1995-01-16,33.1,17.0,1019.3,77.7,36.1,24.5,1018.2,64.1,28.1,11.1,1019.3,21.6
1995-01-17,36.3,13.6,1014.3,83.1,32.2,16.0,1018.9,72.2,24.6,14.3,1021.4,26.9
1995-01-18,37.1,13.6,1014.1,86.8,35.8,13.1,1036.1,63.4,31.7,10.9,1020.6,35.9
1995-01-19,36.6,14.1,1018.0,87.0,31.7,12.9,1018.7,60.2,34.3,13.0,1019.3,16.0
1995-01-20,37.2,12.3,1009.2,72.1,30.1,13.2,1021.8,81.1,31.4,11.5,1013.9,25.7
1995-01-21,39.4,15.9,1014.9,88.7,35.8,16.9,1018.0,65.1,27.9,12.4,1010.0,39.5
1995-01-22,39.2,12.9,1017.4,96.7,42.0,13.6,1014.2,73.8,22.0,13.7,1011.2,20.3
1995-01-23,41.9,14.5,1006.4,91.2,35.2,15.3,1024.4,73.2,30.2,11.6,1016.0,32.5
1995-01-24,38.1,11.8,1027.0,79.0,35.1,19.0,1012.1,88.4,32.7,17.0,1018.9,21.2
1995-01-25,35.0,12.7,1025.7,84.7,38.0,17.9,1019.1,57.4,24.1,11.9,1014.1,7.4
1995-01-26,33.6,11.9,1008.9,82.2,40.1,14.5,1022.1,81.4,26.8,11.4,1013.4,17.8
1995-01-27,42.3,12.8,1013.1,76.0,37.4,19.2,1009.7,49.7,31.2,14.6,1022.2,26.4
1995-01-28,38.9,12.1,1025.8,76.4,39.2,14.0,1024.8,72.6,30.6,14.1,1023.6,23.4
1995-01-29,39.9,11.9,1019.3,80.7,37.7,13.7,1027.6,74.4,29.1,13.3,1021.3,21.1
1995-01-30,41.3,17.3,1018.6,76.3,39.6,17.5,1017.2,94.1,30.7,18.5,1020.5,26.3
