date,enso_nino34,pdo_index,nao_index,enso_phase
1995-01-01,0.624,0.704,-0.171,El_Nino
1995-01-02,0.664,0.573,-0.131,El_Nino
1995-01-03,0.699,0.451,-0.092,El_Nino
1995-01-04,0.731,0.338,-0.053,El_Nino
1995-01-05,0.76,0.234,-0.016,El_Nino
1995-01-06,0.785,0.137,0.022,El_Nino
1995-01-07,0.807,0.049,0.058,El_Nino
1995-01-08,0.826,-0.032,0.094,El_Nino
1995-01-09,0.842,-0.105,0.129,El_Nino
1995-01-10,0.855,-0.171,0.163,El_Nino
1995-01-11,0.865,-0.231,0.197,El_Nino
1995-01-12,0.873,-0.283,0.23,El_Nino
1995-01-13,0.878,-0.329,0.262,El_Nino
1995-01-14,0.88,-0.369,0.294,El_Nino
1995-01-15,0.88,-0.403,0.324,El_Nino
1995-01-16,0.878,-0.43,0.355,El_Nino
1995-01-17,0.874,-0.453,0.384,El_Nino
1995-01-18,0.868,-0.47,0.414,El_Nino
1995-01-19,0.86,-0.482,0.442,El_Nino
1995-01-20,0.85,-0.489,0.47,El_Nino
1995-01-21,0.838,-0.492,0.497,El_Nino
1995-01-22,0.825,-0.49,0.523,El_Nino
1995-01-23,0.811,-0.484,0.549,El_Nino
1995-01-24,0.795,-0.474,0.575,El_Nino
1995-01-25,0.777,-0.461,0.6,El_Nino
1995-01-26,0.759,-0.444,0.624,El_Nino
1995-01-27,0.74,-0.424,0.647,El_Nino
1995-01-28,0.719,-0.402,0.67,El_Nino
1995-01-29,0.698,-0.376,0.693,El_Nino
1995-01-30,0.677,-0.348,0.715,El_Nino
1995-01-31,0.654,-0.318,0.736,El_Nino
1995-02-01,0.631,-0.286,0.757,El_Nino
1995-02-02,0.608,-0.252,0.777,El_Nino
1995-02-03,0.585,-0.217,0.797,El_Nino
1995-02-04,0.561,-0.18,0.816,El_Nino
1995-02-05,0.537,-0.142,0.835,El_Nino
1995-02-06,0.514,-0.104,0.853,El_Nino
1995-02-07,0.49,-0.065,0.87,Neutral
1995-02-08,0.467,-0.026,0.888,Neutral
1995-02-09,0.445,0.014,0.904,Neutral
1995-02-10,0.422,0.053,0.92,Neutral
1995-02-11,0.401,0.091,0.936,Neutral
1995-02-12,0.38,0.13,0.951,Neutral
1995-02-13,0.36,0.167,0.966,Neutral
1995-02-14,0.341,0.203,0.98,Neutral
1995-02-15,0.323,0.237,0.994,Neutral
1995-02-16,0.306,0.271,1.008,Neutral
1995-02-17,0.291,0.302,1.021,Neutral
1995-02-18,0.277,0.331,1.033,Neutral
1995-02-19,0.264,0.358,1.045,Neutral
1995-02-20,0.253,0.382,1.057,Neutral
1995-02-21,0.244,0.404,1.068,Neutral
1995-02-22,0.236,0.422,1.079,Neutral
1995-02-23,0.231,0.437,1.089,Neutral
1995-02-24,0.227,0.449,1.099,Neutral
1995-02-25,0.226,0.457,1.109,Neutral
