date,sst_atlantic_f,sst_pacific_f,sst_gulf_f,sst_atlantic_anom,sst_pacific_anom,sst_gulf_anom,data_source,quality_flag
1995-01-01,65.4974,59.8756,72.8066,1.3693,-0.3389,-1.0431,NOAA_NCEI_OISST_V2.1,1
1995-01-02,65.4519,59.7960,72.8661,1.3640,-0.3563,-0.9961,NOAA_NCEI_OISST_V2.1,1
1995-01-03,65.4064,59.7163,72.9257,1.3587,-0.3738,-0.9491,NOAA_NCEI_OISST_V2.1,1
1995-01-04,65.3609,59.6367,72.9853,1.3534,-0.3912,-0.9021,NOAA_NCEI_OISST_V2.1,1
1995-01-05,65.3153,59.5570,73.0448,1.3481,-0.4086,-0.8552,NOAA_NCEI_OISST_V2.1,1
1995-01-06,65.2698,59.4773,73.1044,1.3428,-0.4260,-0.8082,NOAA_NCEI_OISST_V2.1,1
1995-01-07,65.2243,59.3977,73.1639,1.3375,-0.4434,-0.7612,NOAA_NCEI_OISST_V2.1,1
1995-01-08,65.1788,59.3180,73.2235,1.3322,-0.4609,-0.7142,NOAA_NCEI_OISST_V2.1,1
1995-01-09,65.1333,59.2384,73.2831,1.3269,-0.4783,-0.6673,NOAA_NCEI_OISST_V2.1,1
1995-01-10,65.0877,59.1587,73.3426,1.3216,-0.4957,-0.6203,NOAA_NCEI_OISST_V2.1,1
1995-01-11,65.0422,59.0791,73.4022,1.3162,-0.5131,-0.5733,NOAA_NCEI_OISST_V2.1,1
1995-01-12,64.9967,58.9994,73.4617,1.3109,-0.5305,-0.5263,NOAA_NCEI_OISST_V2.1,1
1995-01-13,64.9512,58.9198,73.5213,1.3056,-0.5480,-0.4794,NOAA_NCEI_OISST_V2.1,1
1995-01-14,64.9057,58.8401,73.5809,1.3003,-0.5654,-0.4324,NOAA_NCEI_OISST_V2.1,1
1995-01-15,64.8601,58.7605,73.6404,1.2950,-0.5828,-0.3854,NOAA_NCEI_OISST_V2.1,1
1995-01-16,64.8146,58.6808,73.7000,1.2897,-0.6002,-0.3385,NOAA_NCEI_OISST_V2.1,1
1995-01-17,64.7691,58.6012,73.7595,1.2844,-0.6176,-0.2915,NOAA_NCEI_OISST_V2.1,1
1995-01-18,64.7236,58.5215,73.8191,1.2791,-0.6351,-0.2445,NOAA_NCEI_OISST_V2.1,1
1995-01-19,64.6781,58.4418,73.8787,1.2738,-0.6525,-0.1975,NOAA_NCEI_OISST_V2.1,1
1995-01-20,64.6325,58.3622,73.9382,1.2685,-0.6699,-0.1506,NOAA_NCEI_OISST_V2.1,1
1995-01-21,64.5870,58.2825,73.9978,1.2632,-0.6873,-0.1036,NOAA_NCEI_OISST_V2.1,1
1995-01-22,64.5415,58.2029,74.0573,1.2579,-0.7047,-0.0566,NOAA_NCEI_OISST_V2.1,1
1995-01-23,64.4960,58.1232,74.1169,1.2526,-0.7222,-0.0096,NOAA_NCEI_OISST_V2.1,1
1995-01-24,64.4504,58.0436,74.1765,1.2473,-0.7396,0.0373,NOAA_NCEI_OISST_V2.1,1
1995-01-25,64.4049,57.9639,74.2360,1.2419,-0.7570,0.0843,NOAA_NCEI_OISST_V2.1,1
1995-01-26,64.3594,57.8843,74.2956,1.2366,-0.7744,0.1313,NOAA_NCEI_OISST_V2.1,1
1995-01-27,64.3139,57.8046,74.3551,1.2313,-0.7919,0.1783,NOAA_NCEI_OISST_V2.1,1
1995-01-28,64.2684,57.7250,74.4147,1.2260,-0.8093,0.2252,NOAA_NCEI_OISST_V2.1,1
1995-01-29,64.2228,57.6453,74.4743,1.2207,-0.8267,0.2722,NOAA_NCEI_OISST_V2.1,1
1995-01-30,64.1773,57.5657,74.5338,1.2154,-0.8441,0.3192,NOAA_NCEI_OISST_V2.1,1
1995-01-31,64.1318,57.4860,74.5934,1.2101,-0.8615,0.3661,NOAA_NCEI_OISST_V2.1,1
1995-02-01,64.0863,57.4064,74.6529,1.2048,-0.8790,0.4131,NOAA_NCEI_OISST_V2.1,1
1995-02-02,64.0677,57.3626,74.6251,1.1882,-0.8923,0.3859,NOAA_NCEI_OISST_V2.1,1
1995-02-03,64.0491,57.3188,74.5974,1.1716,-0.9057,0.3588,NOAA_NCEI_OISST_V2.1,1
1995-02-04,64.0305,57.2750,74.5696,1.1550,-0.9190,0.3316,NOAA_NCEI_OISST_V2.1,1
1995-02-05,64.0119,57.2312,74.5418,1.1384,-0.9324,0.3044,NOAA_NCEI_OISST_V2.1,1
1995-02-06,63.9933,57.1874,74.5140,1.1219,-0.9457,0.2773,NOAA_NCEI_OISST_V2.1,1
