date,actual_max_temp,actual_min_temp,actual_precipitation,average_max_temp,average_min_temp,record_max_temp,record_min_temp,record_max_temp_year,record_min_temp_year,record_precipitation
1995-01-01,45.2,30.3,0.17,42.8,30.5,53.7,21.3,1970,1954,0.58
1995-01-02,42.4,28.0,0.41,42.6,30.6,49.7,23.2,2021,1961,0.44
1995-01-03,45.9,26.9,0.15,43.0,29.7,48.8,15.1,2017,1983,1.24
1995-01-04,49.9,33.6,0.24,42.3,29.9,53.1,28.8,2021,2010,0.73
1995-01-05,42.0,25.5,0.11,42.9,29.2,48.4,15.2,1973,1952,1.24
1995-01-06,42.0,26.6,0.13,42.5,30.0,47.5,21.7,1958,2000,0.41
1995-01-07,50.2,25.9,0.21,43.5,29.3,56.6,19.7,1967,1967,0.21
1995-01-08,46.6,24.4,0.3,42.7,29.8,54.9,15.8,1970,1971,1.02
1995-01-09,41.0,30.7,0.0,42.8,30.7,44.6,23.1,1958,1953,0.42
1995-01-10,45.6,34.6,0.68,43.3,29.4,54.2,27.5,1994,2008,0.69
1995-01-11,41.1,29.5,0.31,43.0,29.7,51.3,19.5,1970,1972,0.74
1995-01-12,41.2,24.5,0.0,44.4,29.8,43.2,15.4,1993,1978,1.34
1995-01-13,44.4,33.4,0.34,43.8,29.4,50.1,22.3,1985,1996,0.46
1995-01-14,34.7,36.7,0.06,43.4,30.7,39.5,32.4,1985,2002,0.23
1995-01-15,35.6,27.9,0.1,43.6,30.5,42.0,25.7,1981,2020,0.62
1995-01-16,40.9,28.6,0.0,42.3,31.3,49.1,16.6,1976,2003,0.86
1995-01-17,39.0,32.4,0.11,44.1,30.0,42.8,27.6,2014,1965,0.62
1995-01-18,45.0,36.7,0.34,43.9,29.6,48.4,34.2,1993,1990,0.9
1995-01-19,39.6,28.6,0.0,43.6,31.0,48.9,24.1,1971,2008,0.2
1995-01-20,37.4,25.6,0.0,44.0,30.5,46.2,16.9,1991,1992,0.01
1995-01-21,50.4,33.1,0.38,44.2,30.5,57.0,25.2,2013,2005,1.3
1995-01-22,42.9,33.8,0.01,43.7,31.5,49.9,29.7,1961,1994,2.68
1995-01-23,44.3,30.9,0.05,44.2,30.9,49.0,27.0,2002,1974,1.06
1995-01-24,37.7,28.8,0.08,44.6,31.4,43.0,22.4,1998,1975,0.33
1995-01-25,41.7,34.8,0.25,44.4,30.7,46.9,32.7,1955,2013,0.47
1995-01-26,44.8,33.1,0.0,44.2,30.7,54.0,31.1,2015,1986,1.61
1995-01-27,39.2,28.3,0.56,44.5,31.0,46.8,20.1,2013,1964,2.79
1995-01-28,46.2,31.5,0.0,45.2,31.6,55.5,26.2,1972,1981,0.47
1995-01-29,41.9,26.2,0.37,45.0,31.4,49.8,24.0,1953,2007,0.73
1995-01-30,43.4,34.1,0.06,44.1,31.7,50.9,27.5,1992,2009,0.42
1995-01-31,42.1,30.6,0.05,45.1,30.3,47.3,19.2,2016,1957,0.16
1995-02-01,53.3,30.0,0.12,45.2,30.7,59.2,25.5,1951,2002,0.77
1995-02-02,45.0,31.7,0.01,45.7,30.7,55.9,27.1,1968,2019,0.1
1995-02-03,40.4,32.0,0.0,45.2,31.7,48.2,25.4,1950,1994,0.12
1995-02-04,49.0,35.4,0.0,45.1,31.3,56.3,31.9,2020,1957,0.56
