date,actual_max_temp,actual_min_temp,actual_precipitation,average_max_temp,average_min_temp,record_max_temp,record_min_temp,record_max_temp_year,record_min_temp_year,record_precipitation
1995-01-01,42.9,32.2,0.17,41.0,29.1,55.7,18.5,2021,1991,0.19
1995-01-02,41.1,26.9,0.49,42.1,30.5,45.7,15.9,2003,1989,0.58
1995-01-03,42.7,35.0,0.6,41.7,30.1,50.0,28.9,2001,1997,0.71
1995-01-04,48.4,28.1,0.0,42.0,29.7,61.9,24.9,1991,2002,0.05
1995-01-05,47.2,35.5,0.0,42.0,29.9,59.7,23.5,2021,1956,0.65
1995-01-06,52.1,36.4,0.0,42.3,29.7,65.9,22.9,2015,1978,0.03
1995-01-07,37.1,33.8,0.5,42.1,30.0,42.4,30.7,1958,2009,4.06
1995-01-08,40.6,26.8,0.14,42.3,30.6,50.3,19.5,1977,1987,0.55
1995-01-09,47.0,22.8,0.03,42.0,30.8,55.7,18.8,2017,2007,0.43
1995-01-10,48.0,29.4,0.2,42.1,31.1,53.5,18.8,1954,1956,0.31
1995-01-11,43.9,35.3,0.0,42.7,30.1,52.9,22.0,1959,1996,0.14
1995-01-12,47.4,40.6,0.0,42.5,30.6,53.6,36.0,1974,1998,0.2
1995-01-13,41.9,26.5,0.37,42.9,30.5,54.4,20.4,2013,2010,1.92
1995-01-14,39.8,34.7,0.0,42.1,30.5,54.4,22.8,2002,1986,0.34
1995-01-15,43.7,31.7,0.0,42.5,31.0,56.5,22.1,2002,1984,0.67
1995-01-16,38.3,35.9,0.16,42.3,31.1,49.8,28.3,1996,2008,0.33
1995-01-17,44.2,26.0,0.0,42.7,30.7,54.0,13.2,1987,1968,0.29
1995-01-18,41.4,28.7,0.0,42.4,30.5,46.2,18.0,1982,1978,0.04
1995-01-19,35.1,29.6,0.41,42.6,30.9,49.9,21.7,1998,2012,1.94
1995-01-20,47.5,33.2,0.0,43.4,30.7,56.0,21.4,1998,1984,0.64
1995-01-21,44.1,27.7,0.39,42.7,31.1,48.3,16.3,2011,1981,0.39
1995-01-22,42.4,25.8,0.23,43.4,31.0,49.1,18.6,2009,1972,0.77
1995-01-23,46.3,32.9,0.0,44.0,32.0,61.1,18.4,1995,1955,0.08
1995-01-24,47.1,29.5,0.39,43.1,31.6,50.4,21.3,1981,1984,1.44
1995-01-25,48.2,39.2,0.18,44.1,31.9,53.7,24.3,1992,1975,0.58
1995-01-26,40.0,34.4,0.0,43.4,31.4,51.5,19.9,2018,1976,0.12
1995-01-27,38.6,31.0,0.3,43.8,31.9,50.3,20.8,2017,1968,0.3
1995-01-28,39.8,33.5,0.1,44.6,32.0,51.0,24.2,1990,1962,1.03
1995-01-29,57.4,30.9,0.0,43.7,32.0,66.5,16.9,2006,1966,0.91
1995-01-30,39.6,35.0,0.0,45.8,31.6,45.2,27.4,2014,1957,0.04
1995-01-31,50.0,32.6,0.58,44.6,33.2,56.0,29.0,1983,1989,1.0
1995-02-01,39.3,40.2,0.05,45.9,33.0,45.0,36.4,2008,2020,1.1
1995-02-02,39.1,35.4,0.0,45.8,32.9,54.0,26.5,1976,1984,0.17
1995-02-03,37.0,39.1,0.0,45.3,32.6,41.0,33.3,1980,1973,0.13
1995-02-04,38.1,29.2,0.6,44.6,33.5,50.2,23.1,1959,1987,0.88
1995-02-05,44.1,37.6,0.0,45.9,33.7,56.8,28.2,1963,2006,0.15
1995-02-06,46.8,29.0,0.0,45.2,33.0,50.1,18.5,1999,1997,0.57
1995-02-07,47.9,31.3,0.59,45.9,33.4,50.9,18.8,1968,1998,1.77
1995-02-08,48.2,35.2,0.71,46.1,33.4,59.8,21.5,1977,1990,1.16
1995-02-09,49.5,42.9,0.0,46.3,33.9,64.1,35.0,2013,1961,0.21
1995-02-10,44.8,33.2,0.0,46.5,33.6,53.0,23.0,1986,1970,0.01
1995-02-11,35.9,38.2,0.0,46.5,34.0,48.6,25.0,1973,1956,0.26
1995-02-12,46.4,28.7,0.0,46.6,33.8,57.7,16.2,1983,1980,0.64
1995-02-13,43.9,35.2,0.0,47.0,34.7,48.6,28.0,1981,2018,1.56
1995-02-14,50.6,32.5,0.0,48.0,35.1,57.4,17.5,2017,1999,1.06
1995-02-15,51.6,36.4,0.0,47.0,34.7,65.3,25.5,2001,1965,0.11
1995-02-16,44.4,32.6,0.78,47.6,35.4,56.7,25.5,2014,1972,1.11
1995-02-17,52.6,40.6,0.0,49.2,34.9,55.7,25.8,2011,1990,0.82
1995-02-18,48.0,42.1,0.0,48.3,35.3,56.1,27.2,1983,1976,0.13
1995-02-19,44.1,39.5,0.2,49.0,36.3,48.0,35.6,1966,1991,0.76
1995-02-20,60.6,31.3,0.0,48.6,36.2,65.1,19.5,2015,1987,0.32
1995-02-21,47.4,40.8,0.42,48.6,37.1,58.6,33.1,1993,1993,0.54
1995-02-22,53.2,26.7,0.04,49.7,36.7,63.9,21.9,1951,1982,0.22
1995-02-23,56.3,32.7,0.36,49.6,37.1,59.7,18.7,1964,2013,0.38
1995-02-24,52.8,43.4,0.0,50.6,37.4,60.4,32.0,2013,1993,0.28
1995-02-25,48.0,33.7,0.0,50.0,37.5,53.9,21.9,2005,2015,1.54
1995-02-26,49.2,41.1,0.57,50.6,37.8,61.8,33.0,1986,1988,1.05
1995-02-27,40.1,38.1,0.0,51.6,37.8,48.4,25.8,1951,1955,1.02
1995-02-28,46.6,39.8,0.34,51.6,37.2,54.0,27.6,1998,1968,0.62
1995-03-01,55.5,35.8,0.0,51.4,38.5,64.1,30.8,1979,1958,0.1
1995-03-02,51.1,41.3,0.0,51.9,38.3,63.8,29.6,1987,1963,0.72
1995-03-03,54.7,44.0,0.0,52.5,39.2,61.9,34.8,1961,2016,1.24
1995-03-04,46.4,39.9,0.23,52.3,39.8,56.8,32.4,1983,1977,1.1
1995-03-05,51.3,34.7,0.67,51.8,38.8,55.8,24.3,1998,2007,1.31
1995-03-06,55.0,43.1,0.17,52.1,40.3,64.7,38.2,2006,2015,0.53
1995-03-07,53.0,38.9,0.0,53.3,40.2,63.6,31.6,1981,2017,0.85
1995-03-08,62.4,43.9,0.0,53.5,40.2,68.2,34.2,1989,1967,0.2
1995-03-09,51.0,33.2,0.85,54.4,41.0,59.0,18.3,1959,1979,0.85
1995-03-10,54.5,39.3,0.31,54.9,40.9,64.6,34.4,1959,1970,0.58
1995-03-11,55.6,36.2,0.06,54.8,41.1,62.7,22.1,2007,2000,0.68
1995-03-12,50.2,38.1,0.0,55.2,40.8,55.0,28.6,1997,1952,3.61
1995-03-13,48.8,38.6,0.0,56.0,41.8,52.2,29.2,1965,2012,0.05
1995-03-14,56.9,48.2,0.0,54.5,42.5,64.4,36.7,1981,1968,0.33
1995-03-15,59.9,46.2,0.0,55.1,42.1,63.3,42.5,1954,1982,1.03
1995-03-16,59.0,47.7,0.18,55.6,42.9,65.2,43.9,1974,1995,1.35
1995-03-17,60.1,51.1,0.0,55.8,42.4,69.0,37.0,1994,1956,0.6
1995-03-18,54.1,45.9,0.0,56.7,42.9,62.6,40.5,2005,1986,0.91
1995-03-19,53.1,50.9,0.1,57.3,43.3,62.7,44.2,1987,1995,0.31
1995-03-20,56.3,45.7,0.16,57.6,43.1,65.3,32.7,1979,1974,2.09
1995-03-21,64.5,48.8,1.71,58.1,44.1,73.2,40.1,2018,2003,1.77
1995-03-22,61.7,41.7,0.0,58.3,44.9,67.6,31.7,1990,1999,2.69
1995-03-23,52.1,47.4,0.0,58.4,45.1,56.0,38.1,2004,2009,0.45
1995-03-24,61.5,45.0,0.0,58.6,45.1,65.6,36.9,2020,1999,1.96
1995-03-25,71.8,42.1,0.0,58.5,45.3,81.8,30.4,1951,1984,0.05
1995-03-26,65.4,46.9,0.0,59.5,45.4,77.3,38.2,1962,2004,0.39
1995-03-27,56.5,45.6,0.15,60.1,47.1,60.3,38.2,2002,2001,0.27
1995-03-28,65.6,42.3,0.19,60.8,46.1,79.1,36.8,1994,1960,0.67
1995-03-29,61.6,48.9,0.0,60.1,46.7,75.1,45.3,2019,1981,1.73
1995-03-30,57.8,41.3,0.0,62.0,47.0,69.1,26.5,1988,1960,0.84
1995-03-31,63.3,46.4,0.28,61.7,46.9,72.4,32.8,1985,1981,0.8
1995-04-01,68.2,49.6,0.11,61.9,47.2,71.6,38.7,1980,2021,0.13
1995-04-02,58.4,51.5,0.79,62.0,48.6,67.4,42.5,2000,1971,3.03
1995-04-03,64.3,49.4,0.39,60.9,48.9,75.2,34.7,1955,2016,0.9
1995-04-04,58.5,45.1,0.14,62.8,48.7,72.8,39.8,2011,2021,1.5
1995-04-05,57.3,47.5,0.0,62.8,48.5,61.0,37.4,1978,2019,0.76
1995-04-06,59.6,46.6,0.0,63.9,49.4,71.6,38.5,1980,1963,0.29
1995-04-07,59.3,47.2,0.0,63.6,49.5,69.9,38.5,2004,1996,0.3
1995-04-08,64.5,49.5,0.01,64.6,49.3,74.5,45.0,2021,2000,1.35
1995-04-09,60.4,53.9,0.0,64.0,50.3,63.8,42.9,1957,1952,0.69
1995-04-10,73.0,44.9,0.05,64.5,51.5,76.4,36.6,1981,1950,0.1
1995-04-11,61.1,51.0,0.09,64.8,50.3,72.2,42.3,1973,1993,1.2
1995-04-12,66.3,53.7,0.0,65.6,51.3,71.4,48.5,1991,1991,0.19
1995-04-13,72.9,48.8,0.0,66.1,51.6,85.9,39.4,1988,2006,0.47
1995-04-14,64.5,46.9,0.02,66.0,52.5,72.8,38.7,2010,1953,0.1
1995-04-15,68.0,57.0,0.0,66.8,51.1,73.5,50.4,1952,2020,0.22
1995-04-16,75.8,55.4,0.0,66.8,51.8,89.1,44.1,1959,2017,0.24
1995-04-17,68.9,59.3,0.0,66.3,52.4,74.5,49.6,2003,1983,1.41
1995-04-18,61.0,57.8,0.34,67.8,53.5,71.1,43.1,1998,2004,0.88
1995-04-19,70.9,47.0,0.63,67.0,52.7,79.4,37.7,2001,1965,0.83
1995-04-20,77.4,51.9,0.0,67.0,53.1,88.4,39.8,1970,2006,0.69
