date,actual_max_temp,actual_min_temp,actual_precipitation,average_max_temp,average_min_temp,record_max_temp,record_min_temp,record_max_temp_year,record_min_temp_year,record_precipitation
1995-01-01,66.7,47.2,0.0,67.8,47.1,82.8,42.3,1977,1962,2.33
1995-01-02,74.5,44.8,0.0,67.4,47.2,84.9,35.8,2010,1958,0.75
1995-01-03,67.3,42.2,0.0,68.1,46.7,83.0,40.1,2001,1955,0.32
1995-01-04,75.2,45.3,0.0,67.8,46.7,85.6,39.2,1962,2000,0.04
1995-01-05,65.2,50.1,0.0,68.9,47.2,81.0,41.7,2016,1977,0.09
1995-01-06,72.2,56.1,0.0,68.4,47.1,76.3,52.3,1951,2002,0.29
1995-01-07,73.8,38.5,0.0,68.2,46.9,77.0,29.0,1965,2014,0.63
1995-01-08,66.7,42.5,0.0,68.4,46.5,81.6,31.1,2016,1978,0.35
1995-01-09,68.8,46.5,0.0,68.3,47.1,75.4,43.5,1971,2010,0.17
1995-01-10,69.1,44.1,0.0,68.1,47.2,82.8,38.8,1951,1974,0.63
1995-01-11,65.8,47.4,0.0,68.4,46.9,79.4,42.8,1952,1955,0.39
1995-01-12,58.6,52.9,0.0,68.5,47.8,76.5,42.2,1985,1952,0.75
1995-01-13,65.3,49.5,0.0,67.9,47.3,79.2,46.3,1990,1997,0.62
1995-01-14,64.4,45.1,0.0,69.1,47.7,73.1,34.6,1952,1982,1.15
1995-01-15,66.2,47.1,0.0,69.0,47.8,80.3,45.0,2014,2003,0.17
1995-01-16,66.7,46.1,0.0,68.3,48.8,79.2,43.1,1976,1956,0.35
1995-01-17,69.6,45.9,0.11,68.8,48.3,77.9,41.2,2003,1986,0.17
1995-01-18,65.4,47.1,0.0,68.2,47.7,77.2,35.4,1991,1978,1.81
1995-01-19,71.7,48.1,0.0,69.1,48.6,86.0,39.3,1981,1958,0.23
1995-01-20,59.2,50.0,0.0,69.3,47.7,72.9,45.5,1992,2004,0.24
1995-01-21,71.9,48.5,0.0,69.2,47.6,87.9,44.1,1983,1998,0.32
1995-01-22,73.1,46.4,0.0,69.3,48.1,78.5,38.3,2003,2018,0.19
1995-01-23,70.6,46.6,0.0,69.3,48.0,77.0,34.7,1951,2001,0.24
1995-01-24,66.7,42.0,0.0,69.2,48.2,80.2,38.0,1956,1961,0.43
1995-01-25,67.7,45.5,0.0,70.3,48.6,76.9,42.6,1951,1981,0.34
1995-01-26,73.0,40.9,0.0,69.5,48.7,78.8,35.8,1954,1998,0.2
1995-01-27,69.8,50.4,0.0,69.9,48.7,79.8,44.7,2003,2018,0.96
1995-01-28,75.2,48.5,0.0,70.0,48.7,81.9,42.5,1998,1986,1.08
1995-01-29,71.1,42.6,0.0,70.9,48.6,87.4,39.4,2005,1972,1.92
1995-01-30,72.1,55.2,0.0,70.0,48.9,80.9,48.8,2011,1951,0.63
1995-01-31,70.2,48.8,0.0,70.2,48.9,79.0,42.4,1980,2019,0.1
1995-02-01,69.4,49.4,0.0,70.7,49.0,78.7,37.7,1998,2008,1.85
1995-02-02,74.8,48.6,0.0,71.0,49.3,88.1,38.9,2009,2005,1.49
1995-02-03,71.3,45.0,0.0,71.1,48.8,80.7,36.8,1968,1984,0.1
1995-02-04,72.7,51.5,0.0,71.2,49.9,79.3,48.7,1994,2013,0.3
1995-02-05,69.5,50.5,0.0,71.9,50.1,75.8,38.8,1982,1979,1.84
1995-02-06,73.1,46.4,0.0,71.2,49.9,88.4,40.4,1995,1952,0.28
1995-02-07,71.8,51.5,0.0,71.2,49.9,80.9,43.9,1981,1979,1.14
1995-02-08,73.1,51.4,0.0,72.0,50.5,81.0,49.3,2015,1959,0.65
1995-02-09,68.8,49.7,0.0,72.5,51.0,85.6,39.8,1992,1951,0.9
1995-02-10,73.9,55.0,0.0,71.8,51.0,86.2,46.5,2015,1992,1.04
1995-02-11,74.1,50.6,0.0,72.4,51.2,90.7,47.4,1950,2012,1.16
1995-02-12,68.7,50.8,0.0,72.9,50.7,83.2,41.7,1993,1975,1.33
1995-02-13,79.3,59.9,0.0,73.1,51.2,95.4,51.8,1965,1965,0.47
1995-02-14,64.9,54.7,0.0,73.8,51.5,81.5,46.9,1974,2000,0.4
1995-02-15,67.7,54.0,0.0,73.9,51.0,82.6,48.8,1985,1974,0.98
1995-02-16,74.6,57.6,0.0,73.8,51.9,92.1,55.4,1998,1973,0.48
1995-02-17,68.0,55.5,0.0,74.1,51.8,80.1,51.3,1984,2017,0.7
1995-02-18,72.1,51.9,0.0,74.1,52.5,83.9,48.1,1986,2002,0.01
1995-02-19,71.3,54.5,0.0,74.2,51.8,79.8,45.1,1961,1980,1.15
1995-02-20,65.9,55.9,0.0,75.3,52.5,81.2,49.0,2004,1980,0.03
1995-02-21,68.2,49.2,0.0,75.4,52.8,79.1,40.9,1957,1998,2.0
1995-02-22,72.4,52.7,0.0,75.6,53.4,77.6,50.0,1986,1989,0.35
1995-02-23,67.2,53.8,0.0,75.4,52.6,75.6,43.4,2011,1983,0.27
1995-02-24,74.4,59.9,0.0,75.0,53.0,90.0,56.0,1953,1981,0.7
1995-02-25,77.1,47.2,0.0,76.2,53.2,93.7,37.9,1958,1953,1.79
1995-02-26,77.7,50.9,0.0,76.8,53.9,84.8,45.9,2018,2010,0.87
1995-02-27,77.5,56.8,0.0,76.7,54.3,82.9,49.8,2007,1998,0.99
1995-02-28,74.2,56.2,0.0,76.7,54.3,89.8,47.6,1981,1976,1.4
1995-03-01,81.3,55.0,0.0,77.2,54.1,94.4,44.9,1995,1964,0.76
1995-03-02,75.5,52.2,0.0,78.2,54.5,79.7,44.2,2011,2018,0.17
1995-03-03,78.8,51.8,0.0,77.8,54.3,87.5,42.3,1993,2018,0.25
1995-03-04,80.1,58.4,0.0,78.6,55.9,84.3,47.4,2021,1953,0.03
1995-03-05,76.6,53.1,0.0,78.9,55.2,91.3,47.6,1960,1950,1.17
1995-03-06,78.5,52.8,0.0,78.3,55.9,95.7,46.2,1964,1974,0.14
1995-03-07,73.4,51.0,0.0,79.6,56.2,77.0,40.6,1960,1985,0.52
1995-03-08,79.0,53.4,0.0,79.9,56.5,83.9,51.0,1999,1953,0.45
1995-03-09,79.5,58.9,0.0,80.2,56.3,87.7,48.2,1972,2004,0.99
1995-03-10,81.6,57.6,0.0,80.2,57.3,86.4,53.9,1953,1994,1.72
1995-03-11,79.9,57.7,0.0,80.5,57.6,83.9,50.0,1978,2018,0.4
1995-03-12,75.3,61.6,0.0,81.5,56.8,86.8,55.2,1998,1974,1.12
1995-03-13,74.0,50.3,0.0,81.4,57.6,83.2,44.7,1960,1959,1.75
1995-03-14,73.2,53.5,0.0,82.2,57.1,83.8,48.6,1966,1967,0.65
1995-03-15,83.8,55.8,0.0,81.8,58.0,100.4,52.2,2004,1985,0.24
1995-03-16,78.2,60.3,0.0,82.6,58.8,96.0,49.8,2018,1981,1.42
1995-03-17,84.6,56.0,0.0,82.9,58.3,101.1,48.9,1959,1992,1.04
1995-03-18,80.2,58.8,0.0,83.1,58.9,86.6,52.2,1977,2001,0.43
1995-03-19,75.2,62.1,0.0,83.4,58.6,93.2,57.7,2020,1988,1.51
1995-03-20,80.8,53.0,0.0,83.2,59.2,97.9,48.8,1957,1967,2.27
1995-03-21,87.4,62.6,0.0,83.7,59.6,104.9,60.5,2015,1951,1.0
1995-03-22,90.0,65.7,0.0,84.1,60.3,103.4,54.2,2007,1995,0.42
1995-03-23,82.5,63.4,0.0,84.3,59.8,98.4,55.3,1966,1963,0.57
1995-03-24,76.3,61.9,0.0,84.4,59.9,83.9,53.3,2016,2016,0.02
1995-03-25,86.6,56.5,0.0,84.9,60.2,96.0,51.6,1954,1984,0.33
1995-03-26,88.3,60.4,0.0,85.7,60.4,99.6,48.5,1969,1964,0.32
1995-03-27,86.7,63.4,0.0,85.8,61.8,102.9,55.2,2015,1960,0.06
1995-03-28,79.2,58.9,0.0,86.1,62.0,93.9,49.1,1961,2018,0.93
1995-03-29,84.3,59.3,0.0,86.0,61.7,93.5,47.7,1972,2010,1.02
1995-03-30,83.7,64.8,0.0,86.8,62.6,88.1,55.8,1981,2012,0.07
1995-03-31,83.5,64.7,0.0,87.2,62.5,90.4,61.0,2001,1975,0.9
1995-04-01,93.8,62.6,0.0,87.3,63.3,111.7,59.7,1961,1969,0.33
1995-04-02,85.2,56.7,0.0,88.2,63.6,96.9,47.5,2014,1984,1.4
1995-04-03,84.8,69.3,0.0,88.4,63.5,87.9,67.3,1955,2014,0.39
1995-04-04,82.4,65.9,0.0,88.6,63.6,87.5,58.8,2021,1969,0.85
1995-04-05,88.3,62.6,0.0,88.8,64.4,92.5,57.6,1983,2008,0.27
1995-04-06,93.6,65.5,0.0,89.5,64.2,105.7,54.4,1978,1968,0.96
1995-04-07,88.8,64.0,0.0,89.3,64.0,92.3,55.3,1988,1969,3.55
1995-04-08,95.3,68.9,0.0,90.6,64.2,107.9,57.4,1982,1966,1.79
1995-04-09,93.6,67.9,0.0,90.0,64.8,99.6,59.4,1996,2020,0.76
1995-04-10,90.5,67.4,0.0,90.6,65.1,102.5,62.6,2020,2012,0.1
1995-04-11,89.8,64.7,0.0,91.0,65.0,95.2,52.8,1985,1965,0.83
1995-04-12,99.7,65.7,0.0,91.8,65.4,105.3,58.0,2017,1984,0.27
1995-04-13,96.2,62.9,0.44,91.7,65.6,99.8,59.4,1994,1953,0.85
1995-04-14,89.0,61.8,0.0,92.1,66.5,103.3,51.9,2001,1959,0.21
1995-04-15,93.8,65.2,0.0,92.8,67.2,104.0,55.5,1986,1971,0.9
1995-04-16,89.7,70.9,0.0,93.1,66.5,100.4,64.8,1990,1997,0.46
1995-04-17,94.7,68.0,0.0,93.1,66.9,108.7,60.1,1958,1952,0.44
1995-04-18,93.5,63.9,0.0,93.2,66.4,106.2,57.6,2007,1955,2.08
