date,seattle_soil_moisture_vol,new_york_soil_moisture_vol,phoenix_soil_moisture_vol,seattle_saturation_pct,new_york_saturation_pct,phoenix_saturation_pct,data_source
1995-01-01,0.35,0.28,0.08,70.0,56.0,16.0,NASA_SMAP_Simulated
1995-01-02,0.5,0.473,0.077,100.0,94.6,15.4,NASA_SMAP_Simulated
1995-01-03,0.5,0.5,0.0739,100.0,100.0,14.8,NASA_SMAP_Simulated
1995-01-04,0.5,0.4969,0.0708,100.0,99.4,14.2,NASA_SMAP_Simulated
1995-01-05,0.5,0.4938,0.0677,100.0,98.8,13.5,NASA_SMAP_Simulated
1995-01-06,0.5,0.4907,0.0646,100.0,98.1,12.9,NASA_SMAP_Simulated
1995-01-07,0.5,0.5,0.0615,100.0,100.0,12.3,NASA_SMAP_Simulated
1995-01-08,0.5,0.5,0.0583,100.0,100.0,11.7,NASA_SMAP_Simulated
1995-01-09,0.4968,0.5,0.0551,99.4,100.0,11.0,NASA_SMAP_Simulated
1995-01-10,0.5,0.5,0.0518,100.0,100.0,10.4,NASA_SMAP_Simulated
1995-01-11,0.5,0.4967,0.0486,100.0,99.3,9.7,NASA_SMAP_Simulated
1995-01-12,0.4967,0.4935,0.0453,99.3,98.7,9.1,NASA_SMAP_Simulated
1995-01-13,0.5,0.5,0.042,100.0,100.0,8.4,NASA_SMAP_Simulated
1995-01-14,0.5,0.4967,0.0387,100.0,99.3,7.7,NASA_SMAP_Simulated
1995-01-15,0.5,0.4933,0.0353,100.0,98.7,7.1,NASA_SMAP_Simulated
1995-01-16,0.4966,0.5,0.0319,99.3,100.0,6.4,NASA_SMAP_Simulated
1995-01-17,0.5,0.4966,0.0725,100.0,99.3,14.5,NASA_SMAP_Simulated
1995-01-18,0.5,0.4932,0.0691,100.0,98.6,13.8,NASA_SMAP_Simulated
1995-01-19,0.4965,0.5,0.0656,99.3,100.0,13.1,NASA_SMAP_Simulated
1995-01-20,0.4931,0.4965,0.0621,98.6,99.3,12.4,NASA_SMAP_Simulated
1995-01-21,0.5,0.5,0.0586,100.0,100.0,11.7,NASA_SMAP_Simulated
1995-01-22,0.5,0.5,0.0551,100.0,100.0,11.0,NASA_SMAP_Simulated
1995-01-23,0.5,0.4964,0.0515,100.0,99.3,10.3,NASA_SMAP_Simulated
1995-01-24,0.5,0.5,0.048,100.0,100.0,9.6,NASA_SMAP_Simulated
1995-01-25,0.5,0.5,0.0444,100.0,100.0,8.9,NASA_SMAP_Simulated
1995-01-26,0.4964,0.4964,0.0407,99.3,99.3,8.1,NASA_SMAP_Simulated
1995-01-27,0.5,0.5,0.0371,100.0,100.0,7.4,NASA_SMAP_Simulated
1995-01-28,0.4963,0.5,0.0334,99.3,100.0,6.7,NASA_SMAP_Simulated
1995-01-29,0.5,0.4963,0.0297,100.0,99.3,5.9,NASA_SMAP_Simulated
1995-01-30,0.5,0.4926,0.026,100.0,98.5,5.2,NASA_SMAP_Simulated
1995-01-31,0.5,0.5,0.0223,100.0,100.0,4.5,NASA_SMAP_Simulated
1995-02-01,0.5,0.5,0.02,100.0,100.0,4.0,NASA_SMAP_Simulated
1995-02-02,0.5,0.4962,0.02,100.0,99.2,4.0,NASA_SMAP_Simulated
1995-02-03,0.4962,0.4924,0.02,99.2,98.5,4.0,NASA_SMAP_Simulated
1995-02-04,0.4924,0.5,0.02,98.5,100.0,4.0,NASA_SMAP_Simulated
1995-02-05,0.5,0.4961,0.02,100.0,99.2,4.0,NASA_SMAP_Simulated
1995-02-06,0.5,0.4923,0.02,100.0,98.5,4.0,NASA_SMAP_Simulated
1995-02-07,0.5,0.5,0.02,100.0,100.0,4.0,NASA_SMAP_Simulated
1995-02-08,0.4961,0.5,0.02,99.2,100.0,4.0,NASA_SMAP_Simulated
1995-02-09,0.5,0.4961,0.02,100.0,99.2,4.0,NASA_SMAP_Simulated
1995-02-10,0.496,0.4921,0.02,99.2,98.4,4.0,NASA_SMAP_Simulated
1995-02-11,0.5,0.4881,0.02,100.0,97.6,4.0,NASA_SMAP_Simulated
1995-02-12,0.5,0.4841,0.02,100.0,96.8,4.0,NASA_SMAP_Simulated
1995-02-13,0.496,0.4801,0.02,99.2,96.0,4.0,NASA_SMAP_Simulated
1995-02-14,0.5,0.4761,0.02,100.0,95.2,4.0,NASA_SMAP_Simulated
1995-02-15,0.5,0.4721,0.02,100.0,94.4,4.0,NASA_SMAP_Simulated
1995-02-16,0.4959,0.5,0.02,99.2,100.0,4.0,NASA_SMAP_Simulated
1995-02-17,0.5,0.4959,0.02,100.0,99.2,4.0,NASA_SMAP_Simulated
1995-02-18,0.4959,0.4918,0.02,99.2,98.4,4.0,NASA_SMAP_Simulated
1995-02-19,0.4918,0.5,0.02,98.4,100.0,4.0,NASA_SMAP_Simulated
1995-02-20,0.5,0.4959,0.02,100.0,99.2,4.0,NASA_SMAP_Simulated
1995-02-21,0.5,0.5,0.02,100.0,100.0,4.0,NASA_SMAP_Simulated
1995-02-22,0.4998,0.5,0.02,100.0,100.0,4.0,NASA_SMAP_Simulated
1995-02-23,0.5,0.5,0.02,100.0,100.0,4.0,NASA_SMAP_Simulated
1995-02-24,0.5,0.4958,0.02,100.0,99.2,4.0,NASA_SMAP_Simulated
1995-02-25,0.4958,0.4916,0.02,99.2,98.3,4.0,NASA_SMAP_Simulated
1995-02-26,0.4996,0.5,0.02,99.9,100.0,4.0,NASA_SMAP_Simulated
1995-02-27,0.5,0.4958,0.02,100.0,99.2,4.0,NASA_SMAP_Simulated
1995-02-28,0.5,0.5,0.02,100.0,100.0,4.0,NASA_SMAP_Simulated
1995-03-01,0.5,0.4957,0.02,100.0,99.1,4.0,NASA_SMAP_Simulated
1995-03-02,0.5,0.4914,0.02,100.0,98.3,4.0,NASA_SMAP_Simulated
1995-03-03,0.4957,0.4871,0.02,99.1,97.4,4.0,NASA_SMAP_Simulated
1995-03-04,0.5,0.5,0.02,100.0,100.0,4.0,NASA_SMAP_Simulated
1995-03-05,0.5,0.5,0.02,100.0,100.0,4.0,NASA_SMAP_Simulated
1995-03-06,0.5,0.5,0.02,100.0,100.0,4.0,NASA_SMAP_Simulated
1995-03-07,0.5,0.4957,0.02,100.0,99.1,4.0,NASA_SMAP_Simulated
1995-03-08,0.5,0.4913,0.02,100.0,98.3,4.0,NASA_SMAP_Simulated
1995-03-09,0.4956,0.5,0.02,99.1,100.0,4.0,NASA_SMAP_Simulated
1995-03-10,0.5,0.5,0.02,100.0,100.0,4.0,NASA_SMAP_Simulated
1995-03-11,0.5,0.5,0.02,100.0,100.0,4.0,NASA_SMAP_Simulated
1995-03-12,0.5,0.4956,0.02,100.0,99.1,4.0,NASA_SMAP_Simulated
1995-03-13,0.5,0.4912,0.02,100.0,98.2,4.0,NASA_SMAP_Simulated
1995-03-14,0.5,0.4868,0.02,100.0,97.4,4.0,NASA_SMAP_Simulated
1995-03-15,0.5,0.4823,0.02,100.0,96.5,4.0,NASA_SMAP_Simulated
1995-03-16,0.5,0.5,0.02,100.0,100.0,4.0,NASA_SMAP_Simulated
1995-03-17,0.5,0.4956,0.02,100.0,99.1,4.0,NASA_SMAP_Simulated
1995-03-18,0.5,0.4911,0.02,100.0,98.2,4.0,NASA_SMAP_Simulated
1995-03-19,0.5,0.5,0.02,100.0,100.0,4.0,NASA_SMAP_Simulated
1995-03-20,0.5,0.5,0.02,100.0,100.0,4.0,NASA_SMAP_Simulated
1995-03-21,0.4955,0.5,0.02,99.1,100.0,4.0,NASA_SMAP_Simulated
1995-03-22,0.4911,0.4955,0.02,98.2,99.1,4.0,NASA_SMAP_Simulated
1995-03-23,0.4866,0.4911,0.02,97.3,98.2,4.0,NASA_SMAP_Simulated
1995-03-24,0.5,0.4866,0.02,100.0,97.3,4.0,NASA_SMAP_Simulated
1995-03-25,0.5,0.4821,0.02,100.0,96.4,4.0,NASA_SMAP_Simulated
1995-03-26,0.5,0.4776,0.02,100.0,95.5,4.0,NASA_SMAP_Simulated
1995-03-27,0.4955,0.5,0.02,99.1,100.0,4.0,NASA_SMAP_Simulated
